InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,CustomerName
INV93810,E002,Bluetooth Headphones,Electronics,2,2024-05-19 08:54:58,23.1,CUST95,Germany,Nathaniel Ross
INV98696,T003,RC Car,Toys,35,2023-11-09 21:29:57,42.77,CUST4,Germany,Craig Perkins
INV38657,C001,Men's T-Shirt,Clothing,33,2025-04-19 00:57:58,56.56,CUST92,Norway,Ruben Murphy
INV38893,H002,Wall Clock,Home Goods,38,2024-05-22 00:14:11,76.12,CUST21,Norway,Lance Harris
INV54597,C002,Women's Jeans,Clothing,10,2024-03-19 12:15:18,11.12,CUST49,Germany,Stacie Allen
INV57052,C003,Baseball Cap,Clothing,39,2024-05-08 01:34:55,73.24,CUST69,Germany,Victoria Franklin
INV59615,E002,Bluetooth Headphones,Electronics,36,2024-06-07 22:53:17,62.23,CUST47,Spain,Kathryn Gomez
INV19116,E001,Wireless Mouse,Electronics,43,2024-04-01 10:32:10,98.54,CUST30,Germany,Hannah Miller
INV59823,C002,Women's Jeans,Clothing,30,2025-05-23 13:16:59,17.1,CUST46,Spain,Melissa Brown
INV97841,C002,Women's Jeans,Clothing,45,2025-07-11 23:35:39,8.07,CUST82,France,Michael Payne
INV80010,T003,RC Car,Toys,16,2024-01-26 16:49:49,38.57,CUST82,Spain,Michael Payne
INV99733,C003,Baseball Cap,Clothing,50,2023-10-08 08:20:21,82.36,CUST41,Norway,Amanda Vega
INV45093,E002,Bluetooth Headphones,Electronics,14,2025-03-14 11:27:25,22.05,CUST64,Norway,William Rodriguez
INV94259,H002,Wall Clock,Home Goods,10,2024-05-09 05:05:01,25.42,CUST72,Netherlands,Amy Lowe
INV86622,H001,Ceramic Mug,Home Goods,38,2024-09-23 13:10:47,22.71,CUST18,Portugal,Victoria Kennedy
INV21915,E001,Wireless Mouse,Electronics,8,2024-01-15 22:50:40,16.84,CUST88,Norway,Jonathan Sullivan
INV88172,E002,Bluetooth Headphones,Electronics,25,2024-09-05 21:41:44,99.62,CUST68,Netherlands,Brian Johnson
INV82512,E001,Wireless Mouse,Electronics,44,2023-12-07 19:33:01,75.34,CUST99,Italy,Laura Davis
INV24621,C002,Women's Jeans,Clothing,28,2024-01-20 16:31:10,1.32,CUST93,Netherlands,John Campos
INV75612,E003,Smartphone Charger,Electronics,33,2023-11-28 22:45:59,30.55,CUST82,Spain,Michael Payne
INV30032,C003,Baseball Cap,Clothing,49,2024-01-24 19:38:17,95.4,CUST68,United Kingdom,Brian Johnson
INV88504,C003,Baseball Cap,Clothing,32,2023-08-31 04:04:22,92.98,CUST40,Spain,Adam Lewis
INV17592,C001,Men's T-Shirt,Clothing,37,2023-10-31 03:07:06,73.46,CUST9,France,Erik Powell
INV26828,T002,Building Blocks Set,Toys,31,2025-02-24 06:00:43,27.24,CUST78,Norway,Ricky Perry
INV37760,H003,LED Desk Lamp,Home Goods,49,2025-07-18 07:19:25,71.58,CUST52,Italy,Ashley Davis
INV67422,H003,LED Desk Lamp,Home Goods,29,2023-12-13 09:01:33,23.25,CUST44,United Kingdom,Mary Thompson
INV87110,H003,LED Desk Lamp,Home Goods,15,2025-04-05 08:01:04,1.71,CUST91,United Kingdom,Michael Joseph DDS
INV40007,E002,Bluetooth Headphones,Electronics,3,2024-07-15 02:34:47,51.9,CUST36,Portugal,Jacob Carter
INV38080,H003,LED Desk Lamp,Home Goods,9,2025-03-18 20:58:45,47.79,CUST61,Norway,Mr. Christopher Dunlap
INV34957,E002,Bluetooth Headphones,Electronics,7,2025-06-16 15:41:38,36.08,CUST53,Portugal,Kimberly Garza
INV17100,T002,Building Blocks Set,Toys,42,2025-06-03 03:34:59,7.0,CUST94,Italy,Mark King
INV24322,C001,Men's T-Shirt,Clothing,13,2024-02-22 19:31:32,45.41,CUST55,France,Walter Ashley
INV46509,H002,Wall Clock,Home Goods,16,2023-10-28 16:08:02,80.99,CUST71,Germany,Jessica Sanchez
INV16630,T002,Building Blocks Set,Toys,35,2023-08-27 03:23:44,92.71,CUST31,France,Margaret Evans
INV63269,H002,Wall Clock,Home Goods,31,2024-03-17 14:36:05,90.34,CUST22,Norway,Bryan Anderson
INV10282,H001,Ceramic Mug,Home Goods,17,2024-11-19 10:23:08,42.88,CUST94,Portugal,Mark King
INV30289,C001,Men's T-Shirt,Clothing,19,2024-03-21 02:07:45,58.34,CUST70,United Kingdom,Darrell Salazar
INV51104,E001,Wireless Mouse,Electronics,4,2025-04-01 17:21:33,50.78,CUST68,France,Brian Johnson
INV17455,H003,LED Desk Lamp,Home Goods,6,2024-02-18 02:29:41,59.91,CUST87,Spain,Laura Mack
INV62923,E002,Bluetooth Headphones,Electronics,37,2024-04-20 21:04:40,59.86,CUST80,Germany,Zachary Evans
INV64948,T002,Building Blocks Set,Toys,38,2025-03-12 19:02:02,32.32,CUST34,Spain,Katherine Johnson
INV97782,T003,RC Car,Toys,21,2024-04-12 09:40:14,40.18,CUST86,Netherlands,Ricky Gonzalez
INV69929,C003,Baseball Cap,Clothing,49,2023-10-25 00:20:20,46.37,CUST73,Germany,Jill Frost
INV19602,H003,LED Desk Lamp,Home Goods,14,2025-01-11 09:39:20,14.11,CUST45,Germany,Melissa Erickson
INV42018,C003,Baseball Cap,Clothing,19,2024-01-20 15:57:13,83.54,CUST91,Netherlands,Michael Joseph DDS
INV90173,T002,Building Blocks Set,Toys,34,2023-08-20 20:11:32,30.64,CUST85,Germany,John Bird
INV27601,C002,Women's Jeans,Clothing,8,2023-11-29 20:08:32,16.39,CUST37,Spain,Cassidy Wells
INV54942,C001,Men's T-Shirt,Clothing,44,2025-05-22 09:36:40,51.04,CUST33,United Kingdom,Bonnie Robinson
INV22097,T002,Building Blocks Set,Toys,28,2024-05-21 01:36:18,1.35,CUST99,France,Laura Davis
INV93507,C002,Women's Jeans,Clothing,11,2024-11-06 20:05:09,70.86,CUST72,United Kingdom,Amy Lowe
